Year,Sex,Learning category,Learning sub-category (higher),Learning sub-category (lower),GeoCode,Observation status,Unit multiplier,Unit measure,Value
2013/14,,Prime areas of learning,,,E06000023,Undefined,Units,Percentage (%),69.6
2013/14,,Specific areas of learning,Expressive arts and design,16: Exploring and using media and materials,E06000023,Undefined,Units,Percentage (%),85.1
2013/14,,Specific areas of learning,Expressive arts and design,17: Being imaginative,E06000023,Undefined,Units,Percentage (%),83.6
2013/14,,Specific areas of learning,Expressive arts and design,,E06000023,Undefined,Units,Percentage (%),81.1
2013/14,,Specific areas of learning,Literacy,10: Writing,E06000023,Undefined,Units,Percentage (%),66.6
2013/14,,Specific areas of learning,Literacy,9: Reading,E06000023,Undefined,Units,Percentage (%),71.3
2013/14,,Specific areas of learning,Literacy,,E06000023,Undefined,Units,Percentage (%),65
2013/14,,Specific areas of learning,Mathematics,11: Numbers,E06000023,Undefined,Units,Percentage (%),72
2013/14,,Specific areas of learning,Mathematics,"12: Shape, space and measures",E06000023,Undefined,Units,Percentage (%),77.2
2013/14,,Specific areas of learning,Mathematics,,E06000023,Undefined,Units,Percentage (%),70
2013/14,,Specific areas of learning,Understanding the world,13: People and communities,E06000023,Undefined,Units,Percentage (%),82.4
2013/14,,Specific areas of learning,Understanding the world,14: The World,E06000023,Undefined,Units,Percentage (%),81.4
2013/14,,Specific areas of learning,Understanding the world,15: Technology,E06000023,Undefined,Units,Percentage (%),89.4
2013/14,,Specific areas of learning,Understanding the world,,E06000023,Undefined,Units,Percentage (%),77.4
2013/14,,Specific areas of learning,,,E06000023,Undefined,Units,Percentage (%),57.1
2013/14,,,,,E06000023,Undefined,Units,Percentage (%),54.6
2014/15,Girls,Prime areas of learning,Communication and Language,1: Listening and Attention,E06000023,Undefined,Units,Percentage (%),87.5
2014/15,Girls,Prime areas of learning,Communication and Language,2: Understanding,E06000023,Undefined,Units,Percentage (%),86.8
2014/15,Girls,Prime areas of learning,Communication and Language,3: Speaking,E06000023,Undefined,Units,Percentage (%),85.5
2014/15,Girls,Prime areas of learning,Communication and Language,,E06000023,Undefined,Units,Percentage (%),81.6
2014/15,Girls,Prime areas of learning,"Personal, Social and Emotional Development",6: Self-confidence and Self-awareness,E06000023,Undefined,Units,Percentage (%),89.5
2014/15,Girls,Prime areas of learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,E06000023,Undefined,Units,Percentage (%),89.2
2014/15,Girls,Prime areas of learning,"Personal, Social and Emotional Development",8: Making relationships,E06000023,Undefined,Units,Percentage (%),90.5
2014/15,Girls,Prime areas of learning,"Personal, Social and Emotional Development",,E06000023,Undefined,Units,Percentage (%),85.2
2014/15,Girls,Prime areas of learning,Physical Development,4: Moving and Handling,E06000023,Undefined,Units,Percentage (%),93.1
2014/15,Girls,Prime areas of learning,Physical Development,5: Health and Self-Care,E06000023,Undefined,Units,Percentage (%),91.8
2014/15,Girls,Prime areas of learning,Physical Development,,E06000023,Undefined,Units,Percentage (%),90
2014/15,Girls,Prime areas of learning,,,E06000023,Undefined,Units,Percentage (%),78.9
2014/15,Girls,Specific areas of learning,Expressive arts and design,16: Exploring and using media and materials,E06000023,Undefined,Units,Percentage (%),91.7
2014/15,Girls,Specific areas of learning,Expressive arts and design,17: Being imaginative,E06000023,Undefined,Units,Percentage (%),91.8
2014/15,Girls,Specific areas of learning,Expressive arts and design,,E06000023,Undefined,Units,Percentage (%),90.1
2014/15,Girls,Specific areas of learning,Literacy,10: Writing,E06000023,Undefined,Units,Percentage (%),75.4
2014/15,Girls,Specific areas of learning,Literacy,9: Reading,E06000023,Undefined,Units,Percentage (%),78
2014/15,Girls,Specific areas of learning,Literacy,,E06000023,Undefined,Units,Percentage (%),74.7
2014/15,Girls,Specific areas of learning,Mathematics,11: Numbers,E06000023,Undefined,Units,Percentage (%),77.9
2014/15,Girls,Specific areas of learning,Mathematics,"12: Shape, space and measures",E06000023,Undefined,Units,Percentage (%),82
2014/15,Girls,Specific areas of learning,Mathematics,,E06000023,Undefined,Units,Percentage (%),77
2014/15,Girls,Specific areas of learning,Understanding the world,13: People and communities,E06000023,Undefined,Units,Percentage (%),86.6
2014/15,Girls,Specific areas of learning,Understanding the world,14: The World,E06000023,Undefined,Units,Percentage (%),85.7
2014/15,Girls,Specific areas of learning,Understanding the world,15: Technology,E06000023,Undefined,Units,Percentage (%),90.4
2014/15,Girls,Specific areas of learning,Understanding the world,,E06000023,Undefined,Units,Percentage (%),82.2
2014/15,Girls,Specific areas of learning,,,E06000023,Undefined,Units,Percentage (%),69.9
2014/15,Girls,,,,E06000023,Undefined,Units,Percentage (%),68.2
2014/15,Boys,Prime areas of learning,Communication and Language,1: Listening and Attention,E06000023,Undefined,Units,Percentage (%),78.5
2014/15,Boys,Prime areas of learning,Communication and Language,2: Understanding,E06000023,Undefined,Units,Percentage (%),79.6
2014/15,Boys,Prime areas of learning,Communication and Language,3: Speaking,E06000023,Undefined,Units,Percentage (%),77.4
2014/15,Boys,Prime areas of learning,Communication and Language,,E06000023,Undefined,Units,Percentage (%),71.7
2014/15,Boys,Prime areas of learning,"Personal, Social and Emotional Development",6: Self-confidence and Self-awareness,E06000023,Undefined,Units,Percentage (%),84.1
2014/15,Boys,Prime areas of learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,E06000023,Undefined,Units,Percentage (%),80.3
2014/15,Boys,Prime areas of learning,"Personal, Social and Emotional Development",8: Making relationships,E06000023,Undefined,Units,Percentage (%),82.9
2014/15,Boys,Prime areas of learning,"Personal, Social and Emotional Development",,E06000023,Undefined,Units,Percentage (%),75.9
2014/15,Boys,Prime areas of learning,Physical Development,4: Moving and Handling,E06000023,Undefined,Units,Percentage (%),83.6
2014/15,Boys,Prime areas of learning,Physical Development,5: Health and Self-Care,E06000023,Undefined,Units,Percentage (%),86.6
2014/15,Boys,Prime areas of learning,Physical Development,,E06000023,Undefined,Units,Percentage (%),80.1
2014/15,Boys,Prime areas of learning,,,E06000023,Undefined,Units,Percentage (%),66.5
2014/15,Boys,Specific areas of learning,Expressive arts and design,16: Exploring and using media and materials,E06000023,Undefined,Units,Percentage (%),80.4
2014/15,Boys,Specific areas of learning,Expressive arts and design,17: Being imaginative,E06000023,Undefined,Units,Percentage (%),80.8
2014/15,Boys,Specific areas of learning,Expressive arts and design,,E06000023,Undefined,Units,Percentage (%),76.5
2014/15,Boys,Specific areas of learning,Literacy,10: Writing,E06000023,Undefined,Units,Percentage (%),63.1
2014/15,Boys,Specific areas of learning,Literacy,9: Reading,E06000023,Undefined,Units,Percentage (%),68.2
2014/15,Boys,Specific areas of learning,Literacy,,E06000023,Undefined,Units,Percentage (%),61.9
2014/15,Boys,Specific areas of learning,Mathematics,11: Numbers,E06000023,Undefined,Units,Percentage (%),71.4
2014/15,Boys,Specific areas of learning,Mathematics,"12: Shape, space and measures",E06000023,Undefined,Units,Percentage (%),76.3
2014/15,Boys,Specific areas of learning,Mathematics,,E06000023,Undefined,Units,Percentage (%),69.3
2014/15,Boys,Specific areas of learning,Understanding the world,13: People and communities,E06000023,Undefined,Units,Percentage (%),80.2
2014/15,Boys,Specific areas of learning,Understanding the world,14: The World,E06000023,Undefined,Units,Percentage (%),80.2
2014/15,Boys,Specific areas of learning,Understanding the world,15: Technology,E06000023,Undefined,Units,Percentage (%),91.1
2014/15,Boys,Specific areas of learning,Understanding the world,,E06000023,Undefined,Units,Percentage (%),76.5
2014/15,Boys,Specific areas of learning,,,E06000023,Undefined,Units,Percentage (%),55.4
2014/15,Boys,,,,E06000023,Undefined,Units,Percentage (%),53.1
2014/15,,Prime areas of learning,Communication and Language,1: Listening and Attention,E06000023,Undefined,Units,Percentage (%),82.8
2014/15,,Prime areas of learning,Communication and Language,2: Understanding,E06000023,Undefined,Units,Percentage (%),83
2014/15,,Prime areas of learning,Communication and Language,3: Speaking,E06000023,Undefined,Units,Percentage (%),81.2
2014/15,,Prime areas of learning,Communication and Language,,E06000023,Undefined,Units,Percentage (%),76.4
2014/15,,Prime areas of learning,"Personal, Social and Emotional Development",6: Self-confidence and Self-awareness,E06000023,Undefined,Units,Percentage (%),86.6
2014/15,,Prime areas of learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,E06000023,Undefined,Units,Percentage (%),84.5
2014/15,,Prime areas of learning,"Personal, Social and Emotional Development",8: Making relationships,E06000023,Undefined,Units,Percentage (%),86.5
2014/15,,Prime areas of learning,"Personal, Social and Emotional Development",,E06000023,Undefined,Units,Percentage (%),80.3
2014/15,,Prime areas of learning,Physical Development,4: Moving and Handling,E06000023,Undefined,Units,Percentage (%),88.1
2014/15,,Prime areas of learning,Physical Development,5: Health and Self-Care,E06000023,Undefined,Units,Percentage (%),89.1
2014/15,,Prime areas of learning,Physical Development,,E06000023,Undefined,Units,Percentage (%),84.8
2014/15,,Prime areas of learning,,,E06000023,Undefined,Units,Percentage (%),72.4
2014/15,,Specific areas of learning,Expressive arts and design,16: Exploring and using media and materials,E06000023,Undefined,Units,Percentage (%),85.7
2014/15,,Specific areas of learning,Expressive arts and design,17: Being imaginative,E06000023,Undefined,Units,Percentage (%),86
2014/15,,Specific areas of learning,Expressive arts and design,,E06000023,Undefined,Units,Percentage (%),82.9
2014/15,,Specific areas of learning,Literacy,10: Writing,E06000023,Undefined,Units,Percentage (%),68.9
2014/15,,Specific areas of learning,Literacy,9: Reading,E06000023,Undefined,Units,Percentage (%),72.9
2014/15,,Specific areas of learning,Literacy,,E06000023,Undefined,Units,Percentage (%),67.9
2014/15,,Specific areas of learning,Mathematics,11: Numbers,E06000023,Undefined,Units,Percentage (%),74.5
2014/15,,Specific areas of learning,Mathematics,"12: Shape, space and measures",E06000023,Undefined,Units,Percentage (%),79
2014/15,,Specific areas of learning,Mathematics,,E06000023,Undefined,Units,Percentage (%),72.9
2014/15,,Specific areas of learning,Understanding the world,13: People and communities,E06000023,Undefined,Units,Percentage (%),83.2
2014/15,,Specific areas of learning,Understanding the world,14: The World,E06000023,Undefined,Units,Percentage (%),82.8
2014/15,,Specific areas of learning,Understanding the world,15: Technology,E06000023,Undefined,Units,Percentage (%),90.8
2014/15,,Specific areas of learning,Understanding the world,,E06000023,Undefined,Units,Percentage (%),79.2
2014/15,,Specific areas of learning,,,E06000023,Undefined,Units,Percentage (%),62.3
2014/15,,,,,E06000023,Undefined,Units,Percentage (%),60.2
2015/16,Girls,Prime areas of learning,Communication and Language,1: Listening and Attention,E06000023,Undefined,Units,Percentage (%),89.8
2015/16,Girls,Prime areas of learning,Communication and Language,2: Understanding,E06000023,Undefined,Units,Percentage (%),88.5
2015/16,Girls,Prime areas of learning,Communication and Language,3: Speaking,E06000023,Undefined,Units,Percentage (%),88.1
2015/16,Girls,Prime areas of learning,Communication and Language,,E06000023,Undefined,Units,Percentage (%),84.8
2015/16,Girls,Prime areas of learning,"Personal, Social and Emotional Development",6: Self-confidence and Self-awareness,E06000023,Undefined,Units,Percentage (%),91
2015/16,Girls,Prime areas of learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,E06000023,Undefined,Units,Percentage (%),90.8
2015/16,Girls,Prime areas of learning,"Personal, Social and Emotional Development",8: Making relationships,E06000023,Undefined,Units,Percentage (%),91.5
2015/16,Girls,Prime areas of learning,"Personal, Social and Emotional Development",,E06000023,Undefined,Units,Percentage (%),87.2
2015/16,Girls,Prime areas of learning,Physical Development,4: Moving and Handling,E06000023,Undefined,Units,Percentage (%),93.8
2015/16,Girls,Prime areas of learning,Physical Development,5: Health and Self-Care,E06000023,Undefined,Units,Percentage (%),94.3
2015/16,Girls,Prime areas of learning,Physical Development,,E06000023,Undefined,Units,Percentage (%),91.7
2015/16,Girls,Prime areas of learning,,,E06000023,Undefined,Units,Percentage (%),82
